ID,Territory,Country,Company,Website,Vertical,Key person,Title,Email,Phone,LinkedIn,Why-fit,Score,Status,Notes
1,AU/NZ,Australia,Saddleworld,https://saddleworld.com.au/,Equestrian retail,Name TBD,Hardware/stable accessories buyer,info@saddleworld.com.au,+61 (via store finder),https://www.linkedin.com/company/saddleworld,30+ stores nationally - largest dedicated equestrian retail chain in AU,10,to-draft,Buyer name needs LinkedIn lookup; store list at saddleworld.com.au/pages/stores
2,AU/NZ,Australia,Greg Grant Saddlery,https://www.greggrantsaddlery.com.au/,Equestrian retail,Greg or Patricia Grant,Owner / founder,sales@greggrantsaddlery.com.au,+61 7 3263 2255,https://www.linkedin.com/in/greg-grant-3681b8129,4 QLD stores + online; family-owned 50+ yr; founder-to-founder peer match,9,to-draft,Founder peer match - lead with Alik's ranch background
3,AU/NZ,Australia,Horseland,https://www.horseland.com.au/,Equestrian retail,Name TBD,Head buyer,info@horseland.com.au,+61 (head office),https://www.linkedin.com/company/horseland,National chain owned by Weatherbeeta Group; 57 franchised + company-owned stores under Horseland fascia,8,to-draft,Approach via Weatherbeeta corporate - they own the brand
4,AU/NZ,Australia,Elders Rural,https://eldersrural.com.au/,Rural / agricultural,Name TBD,Category buyer (fencing/animal handling),info@elders.com.au,+61 1300 660 099,https://www.linkedin.com/company/elders-limited,Est. 1839; ~200+ branches; sells fencing/gate hardware today; public company,8,to-draft,Long sales cycle expected (3-6 months); ask for fencing category buyer
5,AU/NZ,Australia,Mitre 10 Rural / IHG,https://www.mitre10.com.au/,Rural hardware / DIY,Name TBD,Category buyer - rural/fencing,info@mitre10.com.au,+61 1300 648 730,https://www.linkedin.com/company/independent-hardware-group,Co-op of hundreds of stores; Rural-branded sub-network in horse-dense regions,7,to-draft,Bottom-up via individual Rural Mitre 10s then IHG head office
6,AU/NZ,New Zealand,HorseSports,https://horsesports.co.nz/,Equestrian retail,Name TBD,Owner / buyer,info@horsesports.co.nz,+64 (via website),(verify),Auckland physical + online; strongest NZ-based online equestrian retailer,6,to-draft,Treat as NZ sub-territory of AU deal
7,AU/NZ,Australia,Nutrien Ag Solutions,https://www.nutrienagsolutions.com.au/,Rural / agricultural,Name TBD,Merchandise category manager,enquiries@nutrien.com.au,+61 1800 884 165,https://www.linkedin.com/company/nutrien-ag-solutions-australia,290 corporate stores + 300 independents = ~590 retail points; largest AU farm supply distributor,10,to-draft,Largest single AU farm supply network; merchandise buying team is in Melbourne
8,AU/NZ,Australia,AIRR (Australian Independent Rural Retailers),https://www.airr.com.au/,Rural / agricultural wholesale,Chris Wilesmith,CEO,info@airr.com.au,+61 3 5821 6300,https://www.linkedin.com/company/airr,Wholesale buying group supplying 240 independent rural stores + 100 Tuckers Pet & Produce nationally; 6000 SKUs from 650 suppliers,10,to-draft,One conversation reaches 340+ retail points; Shepparton VIC HQ
9,AU/NZ,Australia,Norco AgriSolutions,https://www.norco.com.au/rural/,Rural / agricultural,Name TBD,Merchandise buyer,info@norco.com.au,+61 1300 667 268,https://www.linkedin.com/company/norco-co-operative,30 rural stores in northern NSW + SE QLD; farmer-owned co-op since 1895; sells fencing/cattle handling today,8,to-draft,Co-op owned - decisions go through farmer-member board
10,AU/NZ,Australia,CRT Australia (Combined Rural Traders),https://crt.com.au/,Rural / agricultural,Name TBD,National buyer,info@crt.com.au,+61 (via stores page),https://www.linkedin.com/company/combined-rural-traders,National rural co-op store network; member stores across all states,8,to-draft,Member co-op structure - similar approach to Mitre 10 Rural
