key,value,notes
home.hero.eyebrow,"Patent-protected · Triple-action mechanism","Small label above the headline"
home.hero.title,"The latch animals can't figure out.","Main homepage headline"
home.hero.subtitle,"A self-resetting spring bolt latch that defeats interrupted opening attempts, while remaining easy to operate with one hand. Licensed and selling across America through National Hardware. Now seeking partners in six more markets.","Paragraph under the buttons"
home.hero.cta1.label,"Partner with us","Green button"
home.hero.cta1.href,"/partner","Green button link"
home.hero.cta2.label,"See how it works","Ghost button"
home.hero.cta2.href,"/how-it-works","Ghost button link"
home.hero.video,"/videos/brazlatch-timeline.mp4","Hero video — paste a new path here to swap it"
home.story.heading,"It started with a horse.","Section heading on homepage"
home.story.body,"A stable owner. Horses who outsmarted every latch on the property. A workshop in Mikhmoret. A mechanism that resets itself the moment your hand leaves it. A US patent. A licensing deal with National Hardware. Today BrazLatch is on shelves across America, with six more markets opening next.","The story paragraph"
home.story.cta.label,"Read the full story","Link under the story"
home.story.cta.href,"/about","Link destination"
home.story.image,"","Leave blank to use local photo. Paste a full URL to swap it."
home.patent.year,"2024","Replace with the real National Hardware launch year"
howitworks.hero.eyebrow,"Mechanism","Small label above the how-it-works headline"
howitworks.hero.title,"A latch that thinks one step ahead.","How it works page headline"
howitworks.hero.subtitle,"Sequential triple-action with auto-reset. Patent-protected mechanism in seven markets.","Subtitle on how-it-works page"
howitworks.hero.cta1.label,"Partner with us","Green button"
howitworks.hero.cta1.href,"/partner",""
howitworks.hero.cta2.label,"See applications","Ghost button"
howitworks.hero.cta2.href,"/applications",""
howitworks.hero.video,"/videos/brazlatch-triple-action.mp4","Swap when new video is ready"
app.01.title,"Equestrian & Livestock","Applications list — row 1 label"
app.01.desc,"Stalls, paddocks, and pasture gates that horses, cattle, and goats probe constantly.","Applications list — row 1 description"
app.02.title,"Residential & Pool","Applications list — row 2 label"
app.02.desc,"Pool fences, garden gates, and side-yard access points where child-safety codes apply.","Applications list — row 2 description"
app.03.title,"Trailers & Transport","Applications list — row 3 label"
app.03.desc,"Spring tension holds the bolt against road vibration. Returns to locked between every stop, without driver attention.","Applications list — row 3 description"
app.04.title,"Backyards & Kennels","Applications list — row 4 label"
app.04.desc,"Pool gates, garden gates, kennel runs. Opens for the adult hand, foreign to small paws and curious toddlers.","Applications list — row 4 description"
app.05.title,"Warehouse & Industrial","Applications list — row 5 label"
app.05.desc,"Warehouse gates and equipment enclosures. One latch across the facility, one part number on the shelf.","Applications list — row 5 description"
app.06.title,"Farms & Agriculture","Applications list — row 6 label"
app.06.desc,"Every gate on the property standardised on a single mechanism. One spare on the shelf, one motion every worker already knows.","Applications list — row 6 description"
