key,value,notes
# 🏠 HOME — HERO (top of homepage),,
home.hero.eyebrow,"Patent-protected · Triple-action mechanism","Small label above the headline"
home.hero.title,"The latch animals can't figure out.","Main headline — you can use basic HTML like <span class=""text-brand-green"">word</span> to make a word green"
home.hero.subtitle,"A self-resetting spring bolt latch that defeats interrupted opening attempts, while remaining easy to operate with one hand. Licensed and selling across America through National Hardware. Now seeking partners in six more markets.","Paragraph under the buttons"
home.hero.cta1.label,"Partner with us","Green button text"
home.hero.cta1.href,"/partner","Green button link"
home.hero.cta2.label,"See how it works","Ghost button text"
home.hero.cta2.href,"/how-it-works","Ghost button link"
home.hero.video,"/videos/brazlatch-timeline.mp4","Video file — paste a new path or URL to swap it"
# 🏠 HOME — STORY (the horse section),,
home.story.heading,"It started with a horse.","Section heading"
home.story.body,"A stable owner. Horses who outsmarted every latch on the property. A workshop in Mikhmoret. A mechanism that resets itself the moment your hand leaves it. A US patent. A licensing deal with National Hardware. Today BrazLatch is on shelves across America, with six more markets opening next.","The story paragraph"
home.story.cta.label,"Read the full story","Link text under the paragraph"
home.story.cta.href,"/about","Where the link goes"
home.story.image,"","Leave BLANK = uses the local horse photo. Paste a full URL to swap the image."
# 🏠 HOME — PATENT SECTION,,
home.patent.year,"2024","The year National Hardware launched — replace with real year"
# ⚙️ HOW IT WORKS PAGE — HERO,,
howitworks.hero.eyebrow,"Mechanism","Small label above the headline"
howitworks.hero.title,"A latch that thinks one step ahead.","Page headline"
howitworks.hero.subtitle,"Sequential triple-action with auto-reset. Patent-protected mechanism in seven markets.","Subtitle paragraph"
howitworks.hero.cta1.label,"Partner with us","Green button"
howitworks.hero.cta1.href,"/partner","Green button link"
howitworks.hero.cta2.label,"See applications","Ghost button"
howitworks.hero.cta2.href,"/applications","Ghost button link"
howitworks.hero.video,"/videos/brazlatch-triple-action.mp4","Video on the right side — swap when new video is ready"
# 📦 APPLICATIONS — 6 environment rows on homepage,,
app.01.title,"Equestrian & Livestock","Row 1 label"
app.01.desc,"Stalls, paddocks, and pasture gates that horses, cattle, and goats probe constantly.","Row 1 description"
app.02.title,"Residential & Pool","Row 2 label"
app.02.desc,"Pool fences, garden gates, and side-yard access points where child-safety codes apply.","Row 2 description"
app.03.title,"Trailers & Transport","Row 3 label"
app.03.desc,"Spring tension holds the bolt against road vibration. Returns to locked between every stop, without driver attention.","Row 3 description"
app.04.title,"Backyards & Kennels","Row 4 label"
app.04.desc,"Pool gates, garden gates, kennel runs. Opens for the adult hand, foreign to small paws and curious toddlers.","Row 4 description"
app.05.title,"Warehouse & Industrial","Row 5 label"
app.05.desc,"Warehouse gates and equipment enclosures. One latch across the facility, one part number on the shelf.","Row 5 description"
app.06.title,"Farms & Agriculture","Row 6 label"
app.06.desc,"Every gate on the property standardised on a single mechanism. One spare on the shelf, one motion every worker already knows.","Row 6 description"
