ID,Territory,Country,Company,Website,Vertical,Channels,Size signal,Score,Score reason,Why-fit,Likely contact path,Status,Notes,Last touched
1,AU/NZ,Australia,Saddleworld,https://saddleworld.com.au/,Equestrian retail,Retail (30+ stores nationwide),"30+ stores across NSW, QLD, VIC, SA, TAS, NT",10,"Multi-location +3, equestrian vertical +2, premium positioning +1, large-store-count capacity +2, family/group ownership +1, named contact paths via store finder +1; total 10",Largest dedicated equestrian retail chain in Australia. National footprint instantly puts BrazLatch in front of every serious AU horse owner.,https://saddleworld.com.au/pages/contact-us  ·  store-finder for regional buyers,to-research,Stockists list at https://saddleworld.com.au/pages/stores ; ask which corporate buyer handles hardware/stable accessories.,2026-05-13
2,AU/NZ,Australia,Greg Grant Saddlery,https://www.greggrantsaddlery.com.au/,Equestrian retail,"Retail (4 stores: Aspley, Annerley, Coopers Plains, Nerang) + online","Founded 1973, family-owned 50+ years, opened Nerang store 2022",9,"Multi-location +3, equestrian vertical +2, 50yr longevity +1, family-owned +1, premium positioning +1, contact path visible +1; total 9","Family business, founder-to-founder peer match for Alik. Australian saddlery institution; their endorsement opens doors with other AU saddleries.",Aspley HQ store contact form; Greg or Patricia Grant on LinkedIn,to-research,https://australiabrief.net/politics/greg-grant-saddlery-history/  Recent store opening signals expansion appetite.,2026-05-13
3,AU/NZ,Australia,Horseland,https://www.horseland.com.au/,Equestrian retail,Retail chain (Bundaberg confirmed plus other QLD/national stores) + online,"Multi-store national chain, established brand",8,"Multi-location +3, equestrian vertical +2, longevity +1, stockist of leading brands +1, contact path +1; total 8",Direct competitor to Saddleworld in the multi-store AU equestrian retail space — running both bidding for AU exclusivity creates pricing leverage.,Head office via website contact; LinkedIn buyers,to-research,Verify exact store count and confirm whether hardware/latches are a category they actively merchandise.,2026-05-13
4,AU/NZ,Australia,Elders Rural,https://eldersrural.com.au/,Rural / agricultural supply,"Rural store network, wholesale, livestock services","Established 1839, national rural agribusiness, ~200+ branches",8,"Multi-location +3, top vertical +2, longevity +1, sells gate/fencing supplies today +1, public company +1; total 8","Owns the rural farm-hardware channel in Australia (fencing, animal handling). Adjacent to equestrian but with the largest distribution footprint of any agri channel.",https://elders.com.au/contact-us ; ask for category buyer in fencing/animal-handling,to-research,"Possible parallel partnership with their Eldersrural ecommerce platform; big company, expect 3-6 month sales cycle.",2026-05-13
5,AU/NZ,Australia,Mitre 10 Rural (Independent Hardware Group),https://www.mitre10.com.au/,Rural hardware / DIY,"Independent hardware co-op, hundreds of stores, rural-specialist stores include fencing/animal supplies","National co-op, dozens of Rural-branded stores (Braidwood, Pittsworth, Charters Towers, Rural View, Mitchell, etc.)",7,"Multi-location +3, top vertical +2, sells gate hardware/fencing +1, longevity +1; harder to land because co-op rather than corporate buyer (cap at 7)","If a 'Rural' Mitre 10 picks it up regionally, BrazLatch becomes a default rural-hardware SKU. Path is bottom-up via individual stores, then group merchandising.",Pick 2–3 Rural Mitre 10 stores in horse-dense regions (NSW/QLD) and approach store owner directly; then approach IHG (Independent Hardware Group) head office,to-research,"Co-op structure means store-by-store wins, but if you win 3-5 Rural Mitre 10s the buying group will list it nationally.",2026-05-13
6,AU/NZ,New Zealand,HorseSports,https://horsesports.co.nz/,Equestrian retail,Auckland physical store + online; saddlery and feed warehouse,"Auckland-based, online + 1 physical store",6,"Single location −2 (offset by online reach), equestrian vertical +2, decent in-market presence +2, contact path +1, NZ market is small so cap +1 net; total 6",Strongest NZ-based online equestrian retailer; cleanest path into the NZ market without building from zero.,Auckland HQ via website contact form,to-research,"NZ is a smaller market — treat as the AU/NZ deal's NZ sub-territory, not a standalone exclusive.",2026-05-13
7,UK/EU,United Kingdom,Naylors Equestrian,https://www.naylors.com/,Equestrian retail,Retail (46 UK stores) + online,46 physical stores across the UK — the biggest equestrian retail footprint in Britain,10,"46 stores +3, equestrian vertical +2, longevity +1, premium brand stockist +1, family-owned +1, capacity >1k units/qtr easily +2; total 12 → cap at 10","The single highest-leverage UK conversation. If Naylors picks it up, BrazLatch is sold from Cornwall to Aberdeen overnight.",Buying team via head office (Bury); LinkedIn search 'Naylors buyer',to-research,Approach with a clear UK exclusivity offer — Naylors competes hard with Robinsons and Ride-Away.,2026-05-13
8,UK/EU,United Kingdom,Absolute Hardware,https://www.absolutehardware.co.uk/stable-hardware-accessories/,Stable / gate hardware specialist,Online + wholesale; specialist in equestrian/stable hardware,"Dedicated equestrian hardware reseller — sells reversible hinges, latches, catches, bolts as core SKUs",9,"Specialist in latches/gate hardware +2, top vertical +2, multi-channel +2, direct import likely +1, premium-brand stockist +1, contact path +1; total 9",This is the cleanest fit on the UK list. Their customers are buying latches NOW; BrazLatch is a category upgrade for them.,Direct via absolutehardware.co.uk contact page,to-research,Smaller than Naylors but converts faster because the SKU fits their existing catalog perfectly.,2026-05-13
9,UK/EU,United Kingdom,Tack Wholesale,https://www.tackwholesale.com/collections/stable-hardware,Stable hardware wholesale,Pure wholesale (B2B-only),B2B wholesale specialist; supplies stable hardware to UK tack shops,8,"Specialist +2, top vertical +2, wholesale-only (channel multiplier) +2, multi-store reach via downstream +1, contact path +1; total 8",Wholesale-only means BrazLatch becomes available to every small UK saddlery through one conversation.,Trade enquiries via tackwholesale.com,to-research,"Lower margin per unit but big multiplier on small-shop reach. Pair with Naylors deal, not in conflict.",2026-05-13
10,UK/EU,United Kingdom / Ireland,Equestrian Fencing and Timber Ltd,https://www.equestrianfencing.com/product-category/hardware/gate-furniture/latches-catches/,Stable / paddock fencing + hardware,Retail + trade; sells latches + paddock fencing + timber as core category,Vertical specialist in paddock/stable fencing systems,8,"Specialist in latches +2, top vertical +2, multi-channel +1, direct importer likely +1, contact path +1, family/owner-led (likely) +1; total 8",Their customers buying paddock fencing are the exact people who want a self-locking gate latch. Bundles naturally with their existing systems.,Sales contact via equestrianfencing.com,to-research,Possible bundle pitch: BrazLatch as the default closure on every new fencing system they sell.,2026-05-13
